pop1	pop2	dxy
0	1	0.0158521738813
0	2	0.01413045087
0	3	0.0144895633536
0	4	0.0122773273838
0	5	0.0127547688734
0	6	0.0152653130737
0	7	0.0166135995728
0	8	0.015512051215
1	2	0.0133194264583
1	3	0.0137037682579
1	4	0.0108904292811
1	5	0.0118965264566
1	6	0.0144547729751
1	7	0.0153058519265
1	8	0.014134553148
2	3	0.0122877661932
2	4	0.00998720198536
2	5	0.0111898558842
2	6	0.01304740252
2	7	0.0136353112901
2	8	0.0124174888542
3	4	0.00991053711226
3	5	0.0112762975277
3	6	0.0137603729327
3	7	0.0139875866277
3	8	0.0127640389773
4	5	0.0095917610187
4	6	0.0107538598197
4	7	0.0112962698672
4	8	0.0100670101961
5	6	0.0114352940244
5	7	0.0119882341345
5	8	0.0113157824696
6	7	0.0147861649739
6	8	0.0136055358066
7	8	0.014904530538
