Total SNPs = 33869726
pop1	pop2	count_fst_1	count_fst_above_09	count_fst_above_075	count_fst_above_05
0	1	0	0	2	2773
0	2	0	367	41076	740900
0	3	0	42	8306	183824
0	4	372	35237	195451	617489
0	5	94	18957	117009	549042
0	6	0	2	283	38155
0	7	0	0	0	2
0	8	0	0	461	62549
1	2	2	58	720	42500
1	3	0	12	847	33626
1	4	3894	12825	105701	587104
1	5	1539	15097	151932	787390
1	6	0	0	98	16851
1	7	0	0	1	1145
1	8	0	8	364	25352
2	3	97	0	9840	115649
2	4	21219	66216	172691	810969
2	5	10103	56821	281542	1110547
2	6	7	66	5911	139074
2	7	1	32	3055	90642
2	8	139	0	14432	160822
3	4	22065	55547	231158	768093
3	5	10464	75105	259922	1239818
3	6	0	0	77	13237
3	7	0	16	2768	83743
3	8	98	1122	5346	125010
4	5	0	0	32	5591
4	6	12128	58946	220929	772713
4	7	3731	27300	133798	578192
4	8	17016	40701	199699	768059
5	6	5228	41781	195192	832969
5	7	1375	19065	115805	620213
5	8	7837	53330	301101	1240878
6	7	0	2	220	25669
6	8	6	159	7550	165542
7	8	0	0	21	6362
