Total SNPs = 27080808
pop1	pop2	count_fst_1	count_fst_above_09	count_fst_above_075	count_fst_above_05
0	1	0	0	9	10597
0	2	0	404	22702	219480
0	3	0	313	21209	307041
0	4	0	658	19260	254861
0	5	0	104	15304	361506
0	6	0	0	0	91
1	2	4	34	1015	66387
1	3	1	54	1964	60714
1	4	9	461	16252	237113
1	5	22	608	6682	96688
1	6	0	0	26	9360
2	3	204	0	11921	161185
2	4	443	5979	106793	658344
2	5	1447	0	14079	294492
2	6	7	107	5266	111223
3	4	520	9957	68014	634650
3	5	1556	0	26069	360692
3	6	17	153	5385	131289
4	5	2003	15604	239698	855753
4	6	44	1605	24263	314547
5	6	1	66	1738	130077
