Total SNPs = 27765949
pop1	pop2	count_fst_1	count_fst_above_09	count_fst_above_075	count_fst_above_05
0	1	0	0	0	1457
0	2	0	137	17531	777148
0	3	0	1022	22355	290381
0	4	453	39220	433358	446981
0	5	3	1150	29167	282623
0	6	0	0	302	50873
0	7	0	0	0	904
1	2	1	17	610	69384
1	3	6	45	2442	52903
1	4	2105	15514	71691	390407
1	5	15	580	10815	183194
1	6	0	3	483	20263
1	7	0	0	12	3340
2	3	346	0	15918	177335
2	4	14111	0	84407	408969
2	5	658	4133	63757	553084
2	6	141	0	8996	126648
2	7	6	103	6547	146513
3	4	19882	0	99002	374474
3	5	1186	5819	74096	655413
3	6	297	0	14863	163359
3	7	24	299	7256	178621
4	5	3	396	8356	98787
4	6	15328	0	80102	316781
4	7	5529	29606	107552	478183
5	6	606	3109	47446	522691
5	7	133	1721	24721	274800
6	7	0	1	197	29664
