Total SNPs = 33885698
pop1	pop2	count_fst_1	count_fst_above_09	count_fst_above_075	count_fst_above_05
0	1	0	0	0	2713
0	2	0	375	41265	739951
0	3	0	62	8203	184019
0	4	346	35830	195172	620721
0	5	110	18854	117539	551427
0	6	0	0	296	38243
0	7	0	0	0	0
0	8	0	0	450	62424
1	2	6	66	889	42131
1	3	0	11	747	33042
1	4	3563	12992	106079	588553
1	5	1351	15031	151768	788582
1	6	0	0	104	17043
1	7	0	0	0	1199
1	8	0	4	319	25289
2	3	110	0	10039	115874
2	4	21394	67042	172395	813301
2	5	10325	57288	281614	1112723
2	6	11	76	5961	140589
2	7	1	28	3120	90729
2	8	199	0	14100	161044
3	4	22297	55496	229972	772201
3	5	10608	75118	260337	1243196
3	6	0	0	76	13094
3	7	1	17	2722	83567
3	8	110	992	5421	124734
4	5	0	0	16	5800
4	6	11940	59522	221158	774334
4	7	3586	27633	133886	581658
4	8	16804	41133	200432	770133
5	6	5049	41517	196406	834118
5	7	1395	18886	115060	620732
5	8	7933	53535	298561	1243031
6	7	0	2	221	25934
6	8	10	122	7243	165467
7	8	0	0	18	6208
