pop1	pop2	dxy
0	1	0.0158641143785
0	2	0.0141450686192
0	3	0.0145028547808
0	4	0.012289586668
0	5	0.0127635829226
0	6	0.0152760738564
0	7	0.0166226400229
0	8	0.0155235836014
1	2	0.0133384553472
1	3	0.0137200708337
1	4	0.0108847555883
1	5	0.0118965813211
1	6	0.0144684700539
1	7	0.0153161814158
1	8	0.0141485210647
2	3	0.0123057119318
2	4	0.00998784944859
2	5	0.0112033441617
2	6	0.0130626286691
2	7	0.0136483721369
2	8	0.0124339567708
3	4	0.00990127740638
3	5	0.0112812541574
3	6	0.0137755821409
3	7	0.0140001090323
3	8	0.0127787765531
4	5	0.00959320254668
4	6	0.0107515563947
4	7	0.0112941345352
4	8	0.0100687754167
5	6	0.011442605476
5	7	0.0119907345948
5	8	0.011321346809
6	7	0.0147961186471
6	8	0.0136140525136
7	8	0.0149140736294
